Country,Year,IC.FRM.FEMM.ZS,IC.FRM.FEMO.ZS,SE.ADT.1524.LT.FE.ZS,SE.ADT.1524.LT.FM.ZS,SE.ADT.1524.LT.MA.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CUAT.FE.ZS,SE.PRM.CUAT.MA.ZS,SE.PRM.CUAT.ZS,SE.PRM.ENRL.FE.ZS,SE.PRM.ENRR.FE,SE.PRM.ENRR.MA,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SE.PRM.NENR.FE,SE.PRM.NENR.MA,SE.PRM.NINT.FE.ZS,SE.PRM.NINT.MA.ZS,SE.PRM.PRS5.FE.ZS,SE.PRM.PRS5.MA.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRM.TCAQ.FE.ZS,SE.PRM.TCAQ.MA.ZS,SE.PRM.TCHR.FE.ZS,SE.PRM.TENR.FE,SE.PRM.TENR.MA,SE.PRM.UNER.FE,SE.PRM.UNER.MA,SE.SCH.LIFE.FE,SE.SCH.LIFE.MA,SE.SEC.CUAT.LO.FE.ZS,SE.SEC.CUAT.LO.MA.ZS,SE.SEC.CUAT.LO.ZS,SE.SEC.CUAT.PO.FE.ZS,SE.SEC.CUAT.PO.MA.ZS,SE.SEC.CUAT.PO.ZS,SE.SEC.CUAT.UP.FE.ZS,SE.SEC.CUAT.UP.MA.ZS,SE.SEC.CUAT.UP.ZS,SE.SEC.ENRL.FE.ZS,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.VO.FE.ZS,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SE.SEC.TCHR.FE.ZS,SE.TER.CUAT.BA.FE.ZS,SE.TER.CUAT.BA.MA.ZS,SE.TER.CUAT.BA.ZS,SE.TER.CUAT.DO.FE.ZS,SE.TER.CUAT.DO.MA.ZS,SE.TER.CUAT.DO.ZS,SE.TER.CUAT.MS.FE.ZS,SE.TER.CUAT.MS.MA.ZS,SE.TER.CUAT.MS.ZS,SE.TER.CUAT.ST.FE.ZS,SE.TER.CUAT.ST.MA.ZS,SE.TER.CUAT.ST.ZS,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SG.ABS.PENB,SG.AGE.FUPN.EQ,SG.AGE.MRET.EQ,SG.AGE.PAPN.EQ,SG.AGE.RTRE.FE,SG.AGE.RTRE.FL.FE,SG.AGE.RTRE.FL.MA,SG.AGE.RTRE.MA,SG.AGE.RTRE.PL.FE,SG.AGE.RTRE.PL.MA,SG.APL.PSPT.EQ,SG.BUS.REGT.EQ,SG.CNT.SIGN.EQ,SG.COK.CHCO.ZS,SG.COK.CROP.ZS,SG.COK.DUNG.ZS,SG.COK.ELEC.ZS,SG.COK.HOUS.ZS,SG.COK.LPGN.ZS,SG.COK.OTHR.ZS,SG.COK.OUTD.ZS,SG.COK.SBLD.ZS,SG.COK.STRW.ZS,SG.COK.WOOD.ZS,SG.CTR.TRVL.EQ,SG.DMK.ALLD.FN.ZS,SG.DMK.DPCH.FN.ZS,SG.DMK.FOOD.FN.ZS,SG.DMK.HLTH.FN.ZS,SG.DMK.HLTH.HB.ZS,SG.DMK.HLTH.OT.ZS,SG.DMK.HLTH.SE.ZS,SG.DMK.HLTH.WF.ZS,SG.DMK.HLTH.WH.ZS,SG.DMK.NONE.FN.ZS,SG.DMK.PRCH.FN.ZS,SG.DMK.PRCH.HB.ZS,SG.DMK.PRCH.OT.ZS,SG.DMK.PRCH.SE.ZS,SG.DMK.PRCH.WF.ZS,SG.DMK.PRCH.WH.ZS,SG.DMK.SRCR.FN.ZS,SG.DMK.VISI.FN.ZS,SG.DMK.VISI.HB.ZS,SG.DMK.VISI.OT.ZS,SG.DMK.VISI.SE.ZS,SG.DMK.VISI.WF.ZS,SG.DMK.VISI.WH.ZS,SG.DML.PRGW,SG.DNG.WORK.DN.EQ,SG.GEN.MNST.ZS,SG.GEN.PARL.ZS,SG.GEN.TECH.ZS,SG.GET.JOBS.EQ,SG.H2O.PRMS.HH.ZS,SG.H2O.TL30.HH.ZS,SG.H2O.TM30.HH.ZS,SG.HLD.HEAD.EQ,SG.HME.TRVL.EQ,SG.IHT.ASST.EQ,SG.IHT.ASST.PT.EQ,SG.IND.WORK.EQ,SG.LAW.ASST.AR,SG.LAW.CRDD.GR,SG.LAW.EQRM.WK,SG.LAW.INDX,SG.LAW.NMCN,SG.LAW.NODC.HR,SG.LAW.OBHB.MR.NO,SG.LEG.DVAW,SG.LEG.SXHR.EM,SG.LOC.LIVE.EQ,SG.NGT.WORK.EQ,SG.OBT.DVRC.EQ,SG.OPN.BANK.EQ,SG.OWN.PRRT.IM,SG.PEN.SXHR.EM,SG.POP.MIGR.FE.ZS,SG.REM.RIGT.EQ,SG.RSX.BRTH.ZS,SG.RSX.NORS.ZS,SG.RSX.REAS.ZS,SG.RSX.SXOT.ZS,SG.RSX.TIRD.ZS,SG.RSX.TMDS.ZS,SG.TIM.UWRK.FE,SG.TIM.UWRK.MA,SG.VAW.1549.ZS,SG.VAW.ARGU.ZS,SG.VAW.BURN.ZS,SG.VAW.GOES.ZS,SG.VAW.NEGL.ZS,SG.VAW.REAS.ZS,SG.VAW.REFU.ZS,SH.CON.1524.FE.ZS,SH.CON.1524.MA.ZS,SH.DYN.AIDS.FE.ZS,SH.FPL.SATI.ZS,SH.HIV.1524.FE.ZS,SH.HIV.1524.MA.ZS,SH.HIV.ARTC.FE.ZS,SH.HIV.ARTC.MA.ZS,SH.HIV.INCD.FE.P3,SH.HIV.INCD.MA.P3,SH.HIV.INCD.YG.FE.P3,SH.HIV.INCD.YG.MA.P3,SH.MMR.LEVE,SH.MMR.LEVE.AL,SH.MMR.LEVE.GT,SH.MMR.RISK,SH.MMR.RISK.ZS,SH.MMR.WAGE.ZS,SH.PAR.LEVE,SH.PAR.LEVE.AL,SH.PAR.LEVE.FE,SH.PAR.LEVE.MA,SH.PRV.SMOK.FE,SH.PRV.SMOK.MA,SH.PTR.LEVE,SH.PTR.LEVE.AL,SH.STA.ANVC.ZS,SH.STA.BRTC.ZS,SH.STA.MALN.FE.ZS,SH.STA.MALN.MA.ZS,SH.STA.MMRT,SH.STA.MMRT.NE,SH.STA.OB18.FE.ZS,SH.STA.OB18.MA.ZS,SL.AGR.0714.FE.ZS,SL.AGR.0714.MA.ZS,SL.AGR.EMPL.FE.ZS,SL.AGR.EMPL.MA.ZS,SL.EMP.1524.SP.FE.ZS,SL.EMP.1524.SP.MA.ZS,SL.EMP.MPYR.FE.ZS,SL.EMP.MPYR.MA.ZS,SL.EMP.OWAC.FE.ZS,SL.EMP.OWAC.MA.ZS,SL.EMP.SELF.FE.ZS,SL.EMP.SELF.MA.ZS,SL.EMP.TOTL.SP.FE.ZS,SL.EMP.TOTL.SP.MA.ZS,SL.EMP.UNDR.FE.ZS,SL.EMP.UNDR.MA.ZS,SL.EMP.VULN.FE.ZS,SL.EMP.VULN.MA.ZS,SL.EMP.WORK.FE.ZS,SL.EMP.WORK.MA.ZS,SL.FAM.WORK.FE.ZS,SL.FAM.WORK.MA.ZS,SL.IND.EMPL.FE.ZS,SL.IND.EMPL.MA.ZS,SL.MNF.0714.FE.ZS,SL.MNF.0714.MA.ZS,SL.SRV.0714.FE.ZS,SL.SRV.0714.MA.ZS,SL.SRV.EMPL.FE.ZS,SL.SRV.EMPL.MA.ZS,SL.TLF.0714.FE.ZS,SL.TLF.0714.MA.ZS,SL.TLF.0714.SW.FE.ZS,SL.TLF.0714.SW.MA.ZS,SL.TLF.0714.WK.FE.ZS,SL.TLF.0714.WK.MA.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.PART.FE.ZS,SL.TLF.PART.MA.ZS,SL.TLF.TOTL.FE.IN,SL.TLF.TOTL.FE.ZS,SL.UEM.1524.FE.ZS,SL.UEM.1524.FM.NE.ZS,SL.UEM.1524.FM.ZS,SL.UEM.1524.MA.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SP.ADO.TFRT,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.CONU.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SP.DYN.LE60.FE.IN,SP.DYN.LE60.MA.IN,SP.DYN.SMAM.FE,SP.DYN.SMAM.MA,SP.DYN.TFRT.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.DYN.WFRT,SP.HOU.FEMA.ZS,SP.M15.2024.FE.ZS,SP.M18.2024.FE.ZS,SP.MTR.1519.ZS,SP.POP.AG00.FE.IN,SP.POP.AG00.MA.IN,SP.POP.AG01.FE.IN,SP.POP.AG01.MA.IN,SP.POP.AG02.FE.IN,SP.POP.AG02.MA.IN,SP.POP.AG03.FE.IN,SP.POP.AG03.MA.IN,SP.POP.AG04.FE.IN,SP.POP.AG04.MA.IN,SP.POP.AG05.FE.IN,SP.POP.AG05.MA.IN,SP.RUR.TOTL.FE.ZS,SP.RUR.TOTL.MA.ZS,SP.URB.TOTL.FE.ZS,SP.URB.TOTL.MA.ZS
AUS,2000,,,,,,,,1.02230000495911,,,,,,,,,,,48.63367,101.875541687012,99.6535110473633,,,95.90952,92.99811,,,,,,,,,,,,96.01008,93.07313,36303.0,68051.0,,,,,,,,,,,,,50.15847,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,22.972972972973,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.0735252208606,1.0,,,,,,,,,,,,,,,,,,12.7,,0.1,0.1,49.0,53.0,0.02,0.12,0.01,0.03,84.0,0.0,0.0,8600.0,0.011611343116838,,0.0,0.0,0.0,0.0,22.2,26.5,0.0,0.0,,99.3,,,7.0,7.0,20.5,19.9,,,3.439921,5.969063,60.803,62.578,5.319896,9.277896,8.10299968719482,14.3330001831055,14.56635,24.19613,51.194,67.416,9.2,5.35,9.246454,14.9182278,85.43365,75.80388,1.164495,0.6125178,10.25689,30.52216,,,,,86.30316,63.50877,,,,,,,54.494,72.069,54.88,27.36,4175685.0,43.8472455058696,11.206,87.121799844841,87.0301335818577,12.876,6.056,6.455,17.357,56.11,97.967,,82.0,76.6,,,,,1.756,91.023514,84.879325,,,,,,122362.5,128578.0,122930.0,129229.5,123518.5,130103.5,125071.0,131858.5,127085.0,134011.5,128897.5,136049.5,6.14745586708204,6.68743509865005,44.2315680166147,42.9335410176532
AUS,2001,,,,,,,,1.02444005012512,,,,104.745880126953,102.394943237305,,,,,,48.63918,101.903251647949,99.471809387207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.98362,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,12.8,,0.1,0.1,50.0,54.0,0.02,0.13,0.01,0.04,84.0,0.0,0.0,9600.0,0.0103710197126145,,0.0,0.0,0.0,0.0,,,0.0,0.0,,99.3,,,6.0,,21.0,20.5,,,3.45308,5.789862,60.612,61.688,5.723996,9.445899,8.25699996948242,14.7069997787476,14.67312,24.56472,51.487,66.829,8.86,5.58,8.9491273,15.1188265,85.3269,75.43527,0.7152683,0.4425965,9.53791,29.65433,,,,,87.00901,64.55583,,,,,,,55.034,71.839,57.76,30.79,4281937.0,44.1759470706181,12.273,84.2357779300891,84.3215389900378,14.555,6.444,6.974,17.238,53.636,93.793,,82.4,77.0,,,28.9,31.0,1.739,91.378199,85.266528,,,,,,122037.5,128490.0,123373.0,129630.0,123885.0,130190.5,124468.5,131071.0,126049.5,132827.5,128017.5,135058.5,,,,
AUS,2002,,,,,,,,1.02336001396179,,,,102.434471130371,100.428237915039,,,,,,48.60689,102.76789855957,100.422073364258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.92824,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,25.3333333333333,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,12.9,,0.1,0.1,47.0,52.0,0.02,0.13,0.01,0.04,84.0,0.0,0.0,10000.0,0.0096708215237847,,0.0,0.0,0.0,0.0,,,0.0,0.0,,99.3,,,6.0,,21.5,21.1,,,3.039416,5.453205,60.253,61.787,5.598687,9.242031,8.61900043487549,15.1719999313354,14.77635,24.7466,51.817,67.076,8.74,5.17,9.1776363,15.5045898,85.22368,75.2534,0.5815813,0.3619998,9.55823,29.97395,,,,,87.40235,64.57285,,,,,,,55.221,71.765,57.72,29.82,4355920.0,44.2766319786021,11.714,85.0616388687455,85.0689905591866,13.77,6.164,6.534,16.826,53.059,90.801,,82.6,77.4,25.285418,21.6308989999999,,,1.756,91.232211,85.746027,,,,,,121434.0,127924.0,122873.0,129343.0,124280.5,130530.5,124767.0,131105.0,125404.5,132012.5,126885.5,133750.5,,,,
AUS,2003,,,,,,,,1.02265000343323,,,,83.0997314453125,81.9732513427734,,,,,,48.62008,102.857330322266,100.579620361328,,,96.398,93.42278,,,,,,,,,,,,96.58515,93.56637,8347.0,39459.0,,,,,,,,,,,,,49.94842,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,25.3333333333333,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,13.0,,0.1,0.1,46.0,51.0,0.02,0.14,0.02,0.04,84.0,0.0,0.0,10000.0,0.0095760497394588,,0.0,0.0,0.0,0.0,,,0.0,0.0,,99.3,,,6.0,6.0,22.0,21.7,,,2.628235,4.948652,61.256,62.376,5.44422,9.090864,8.39000034332275,14.8970003128052,14.36022,24.27848,52.557,67.315,10.06,5.52,8.9159945,15.1876164,85.63979,75.72152,0.5482465,0.3201464,9.562427,30.00638,,,,,87.80934,65.04495,,,,,,,55.9,71.527,56.89,28.85,4471192.0,44.6501331457529,11.272,89.4528152260111,89.5029379069398,12.594,5.98,5.89,15.998,50.706,89.052,,82.8,77.8,,,,,1.748,91.61973,86.08629,,,,,,121451.5,128074.0,122172.0,128697.0,123761.5,130225.0,125200.0,131440.0,125687.5,132098.5,126297.5,132989.0,,,,
AUS,2004,,,,,,,,1.02003002166748,,,,84.41845703125,83.7176284790039,,,,,,48.61707,103.316596984863,101.287872314453,,,96.66264,93.89243,,,,,,,,,,,,96.83268,94.02286,5679.0,34294.0,,,89.0431289672852,90.4469909667969,89.7376022338867,35.6909294128418,30.9890995025635,33.364990234375,58.6276817321777,69.7322463989258,64.1210021972656,,49.96475,,,,,,,,,,,,,,,,,,32.5625991821289,29.0462493896484,30.8230991363525,,,0.0,0.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,24.6666666666667,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,13.1,,0.1,0.1,46.0,51.0,0.02,0.15,0.02,0.04,84.0,0.0,0.0,11000.0,0.0088885351026493,,0.0,0.0,0.0,0.0,,,0.0,0.0,,99.3,,,5.0,,22.5,22.3,,,2.686706,4.580137,61.604,62.728,5.317635,9.11393,8.25399971008301,14.7089996337891,14.07565,24.09811,52.594,67.721,10.02,5.27,8.758013,14.984188,85.92435,75.90189,0.526416,0.303518,9.388987,30.73654,,,,,87.92431,64.68333,,,,,,,55.675,71.491,57.7,30.77,4511197.0,44.5503240645186,10.861,91.7299578059072,91.8944073102631,11.819,5.534,5.274,15.913,49.508,86.332,,83.0,78.1,,,,,1.768,91.892235,86.452861,,,,,,122596.5,129754.0,122320.5,128938.5,123104.5,129649.0,124810.0,131259.0,126234.0,132529.5,126683.5,133201.0,,,,
AUS,2005,,,,,,,,1.01584005355835,,,,86.8860397338867,86.3397674560547,,,,,,48.59218,103.575912475586,101.960876464844,,,,,,,,,,,,,,,,,,,,,,90.2619781494141,91.4580688476563,90.8543014526367,36.0757484436035,32.2970695495605,34.2044906616211,60.2878189086914,69.8715667724609,65.0338516235352,,50.07201,,,,,,,,,,,,,,,,,,33.1277503967285,30.2264804840088,31.690990447998,,,0.0,0.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,20.0,24.6666666666667,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,50.4064140646941,1.0,,,,,,,,,,,,,,,,,,13.1,,0.1,0.1,48.0,53.0,0.02,0.15,0.02,0.04,84.0,0.0,0.0,13000.0,0.0079878408765292,,0.0,0.0,0.0,0.0,18.9,23.2,0.0,0.0,,99.4,,,5.0,,23.0,22.9,,,2.459515,4.489552,62.418,64.155,5.34379,9.170018,8.53600025177002,14.5729999542236,14.30496,23.95967,53.985,68.558,9.49,5.24,8.9611442,14.7896505,85.69505,76.04033,0.4472152,0.2442405,9.338653,30.7091,,,,,88.20184,64.80135,,,,,,,56.957,72.073,56.51,29.15,4681042.0,44.8937185993746,10.327,94.9494949494949,95.0920810313076,10.86,5.217,4.877,15.998,47.595,85.447,,83.3,78.5,,,,,1.807,92.088322,86.748269,,,,,,125454.5,132746.5,123531.5,130626.0,123396.0,130051.5,124258.5,130851.5,126037.0,132464.5,127393.5,133778.0,5.82846003898636,6.16959064327485,44.5175438596491,43.4844054580897
AUS,2006,,,,,,,,1.01273000240326,,,,81.9133377075195,83.7852630615234,,,,,,48.60962,103.97981262207,102.672889709473,,,,,,,,,,,,,,,,,,,,,,90.7767028808594,91.5124893188477,91.1406707763672,38.5362205505371,32.8628616333008,35.7297897338867,62.5840187072754,70.9326705932617,66.7138366699219,,50.03121,,,,,,,,,,,,,,,,,,35.3435401916504,30.6313209533691,33.0125503540039,,,0.0,0.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,24.6666666666667,56.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,20.83333,11.38889,,,,,,,,,,13.1,,0.1,0.1,50.0,56.0,0.02,0.16,0.02,0.05,84.0,0.0,0.0,13000.0,0.0079339215766299,,0.0,0.0,0.0,0.0,,,0.0,0.0,,99.3,,,5.0,5.0,23.5,23.5,,,2.360703,4.271456,62.949,64.428,5.089471,8.884722,8.11499977111816,14.2119998931885,13.59364,23.30811,54.681,68.855,9.12,5.06,8.5041497,14.4233817,86.40636,76.69189,0.4121987,0.2403217,9.101335,31.24384,,,,,88.53796,64.48473,,,,,,,57.509,72.226,57.74,31.54,4798124.0,45.0500199095662,9.457,89.7630331753555,89.6568069776261,10.548,4.917,4.667,15.815,48.235,82.945,65.2,83.5,78.7,,,29.7,31.6,1.908,92.172933,87.104641,,,,,,130743.5,137913.5,126542.0,133796.5,124966.0,132102.5,124771.0,131526.0,125728.5,132230.5,127418.5,133897.0,,,,
AUS,2007,,,,,,,,1.00897002220154,,,,80.9419097900391,82.6045532226563,,,,,,48.59936,105.668098449707,104.728523254395,,,,,,,,,,,,,,,,,,,,,,91.4706420898438,91.9819488525391,91.7246398925781,39.5269584655762,33.9070281982422,36.7352409362793,64.1781692504883,72.2538223266602,68.1897811889648,,50.01771,,,,,,,,,,,,,,,,,,36.0537490844727,31.3971900939941,33.7405891418457,,,0.0,0.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,26.6666666666667,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,13.1,,0.1,0.1,49.0,55.0,0.02,0.16,0.02,0.05,84.0,0.0,0.0,9400.0,0.0106482515264707,,0.0,0.0,0.0,0.0,,,0.0,0.0,,99.2,,,5.0,,24.0,24.0,,,2.273491,4.175713,63.281,64.955,4.962512,8.298713,7.94500017166138,13.9230003356934,13.23835,22.4075,55.281,69.565,8.72,4.86,8.2758162,14.1087863,86.76167,77.5925,0.3531542,0.2148463,8.892847,31.21705,,,,,88.83366,64.60724,,,,,,,58.06,72.497,59.43,33.91,4937826.0,45.1469109208539,9.242,97.5738396624472,97.5820927040439,9.471,4.786,4.045,16.67,48.119,84.719,,83.7,79.0,26.022776,22.7147979999999,,,1.959,92.110197,86.92689,,,,,,136968.0,144435.0,131922.0,139098.0,128449.5,135863.5,126781.5,134000.5,126541.5,133213.5,127391.0,133878.0,,,,
AUS,2008,,,,,,,,1.00641000270844,,,,80.5670394897461,82.6335906982422,,,,,,48.61558,105.487670898438,104.815338134766,,,,,,,,,,,,,,,,,,,,,,92.020881652832,92.6532363891602,92.3343505859375,42.8230094909668,35.8308601379395,39.3568687438965,67.1775436401367,73.0506820678711,70.0889587402344,,49.96884,,,,,,,,,,,,,,,,,,38.9198188781738,32.6640892028809,35.8187408447266,,,0.0,0.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,24.1,26.6666666666667,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,81.25,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,13.1,,0.1,0.1,48.0,54.0,0.02,0.16,0.02,0.05,84.0,0.0,0.0,9800.0,0.0102002949534952,,0.0,0.0,0.0,0.0,,,0.0,0.0,98.3,99.1,,,5.0,,24.5,24.6,,,2.184344,4.076842,63.538,65.455,4.949685,8.418221,8.13199996948242,13.5380001068115,13.38427,22.10496,55.864,69.73,8.39,4.55,8.4345892,13.6867417,86.61572,77.89503,0.3236142,0.1746417,9.259625,33.19517,,,,,88.55603,62.72799,,,,,,,58.535,72.601,56.28,29.7,5081813.0,45.2571004253006,8.583,95.3436807095344,95.2713952713953,9.009,4.563,3.954,17.776,46.643,82.004,,83.7,79.2,,,,,1.984,92.441427,87.435193,,,,,,141322.5,149012.5,137647.0,145077.0,133751.0,141176.0,130668.5,138186.0,128859.0,136060.5,128470.5,135186.5,,,,
AUS,2009,,,,,,,,1.00232994556427,,,,80.5068283081055,82.1410827636719,,,,,,48.59962,105.42822265625,105.18318939209,,,,,,,,,,,,,,,,,,,,,,92.2415390014648,92.2357788085938,92.2386703491211,43.8334503173828,37.2594985961914,40.5558280944824,68.2333297729492,73.4931106567383,70.8557434082031,,49.81624,,,,,,,,,,,,,,,,,,39.7636108398438,33.8264389038086,36.8034706115723,,,0.0,0.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,27.3333333333333,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,83.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,13.1,,0.1,0.1,49.0,54.0,0.02,0.16,0.02,0.05,84.0,0.0,0.0,8900.0,0.0112244003854414,,0.0,0.0,0.0,0.0,,,0.0,0.0,,99.1,,,5.0,,24.9,25.2,,,2.222357,4.078646,60.738,61.604,4.615835,8.579278,8.17199993133545,13.7580003738403,13.07611,22.50528,55.563,68.169,10.1,6.31,8.4602944,13.9260203,86.92389,77.4947,0.3100944,0.1950803,8.924765,31.33409,,,,,88.85287,64.58728,,,,,,,58.736,72.283,57.79,32.31,5209465.0,45.4108535240611,10.359,82.9326923076923,83.1313698740069,12.461,5.402,5.692,17.408,47.91,81.768,62.0,83.9,79.3,,,,,1.971,92.411787,87.492048,,,,,,143446.0,151316.0,141298.5,148825.5,138622.0,146208.0,135628.5,143187.0,132854.0,140440.5,130854.0,138245.0,,,,
