Country,Year,IC.FRM.FEMM.ZS,IC.FRM.FEMO.ZS,SE.ADT.1524.LT.FE.ZS,SE.ADT.1524.LT.FM.ZS,SE.ADT.1524.LT.MA.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SE.PRE.ENRR.FE,SE.PRE.ENRR.MA,SE.PRM.CMPT.FE.ZS,SE.PRM.CMPT.MA.ZS,SE.PRM.CUAT.FE.ZS,SE.PRM.CUAT.MA.ZS,SE.PRM.CUAT.ZS,SE.PRM.ENRL.FE.ZS,SE.PRM.ENRR.FE,SE.PRM.ENRR.MA,SE.PRM.GINT.FE.ZS,SE.PRM.GINT.MA.ZS,SE.PRM.NENR.FE,SE.PRM.NENR.MA,SE.PRM.NINT.FE.ZS,SE.PRM.NINT.MA.ZS,SE.PRM.PRS5.FE.ZS,SE.PRM.PRS5.MA.ZS,SE.PRM.PRSL.FE.ZS,SE.PRM.PRSL.MA.ZS,SE.PRM.REPT.FE.ZS,SE.PRM.REPT.MA.ZS,SE.PRM.TCAQ.FE.ZS,SE.PRM.TCAQ.MA.ZS,SE.PRM.TCHR.FE.ZS,SE.PRM.TENR.FE,SE.PRM.TENR.MA,SE.PRM.UNER.FE,SE.PRM.UNER.MA,SE.SCH.LIFE.FE,SE.SCH.LIFE.MA,SE.SEC.CUAT.LO.FE.ZS,SE.SEC.CUAT.LO.MA.ZS,SE.SEC.CUAT.LO.ZS,SE.SEC.CUAT.PO.FE.ZS,SE.SEC.CUAT.PO.MA.ZS,SE.SEC.CUAT.PO.ZS,SE.SEC.CUAT.UP.FE.ZS,SE.SEC.CUAT.UP.MA.ZS,SE.SEC.CUAT.UP.ZS,SE.SEC.ENRL.FE.ZS,SE.SEC.ENRL.GC.FE.ZS,SE.SEC.ENRL.VO.FE.ZS,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.SEC.NENR.FE,SE.SEC.NENR.MA,SE.SEC.PROG.FE.ZS,SE.SEC.PROG.MA.ZS,SE.SEC.TCHR.FE.ZS,SE.TER.CUAT.BA.FE.ZS,SE.TER.CUAT.BA.MA.ZS,SE.TER.CUAT.BA.ZS,SE.TER.CUAT.DO.FE.ZS,SE.TER.CUAT.DO.MA.ZS,SE.TER.CUAT.DO.ZS,SE.TER.CUAT.MS.FE.ZS,SE.TER.CUAT.MS.MA.ZS,SE.TER.CUAT.MS.ZS,SE.TER.CUAT.ST.FE.ZS,SE.TER.CUAT.ST.MA.ZS,SE.TER.CUAT.ST.ZS,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SG.ABS.PENB,SG.AGE.FUPN.EQ,SG.AGE.MRET.EQ,SG.AGE.PAPN.EQ,SG.AGE.RTRE.FE,SG.AGE.RTRE.FL.FE,SG.AGE.RTRE.FL.MA,SG.AGE.RTRE.MA,SG.AGE.RTRE.PL.FE,SG.AGE.RTRE.PL.MA,SG.APL.PSPT.EQ,SG.BUS.REGT.EQ,SG.CNT.SIGN.EQ,SG.COK.CHCO.ZS,SG.COK.CROP.ZS,SG.COK.DUNG.ZS,SG.COK.ELEC.ZS,SG.COK.HOUS.ZS,SG.COK.LPGN.ZS,SG.COK.OTHR.ZS,SG.COK.OUTD.ZS,SG.COK.SBLD.ZS,SG.COK.STRW.ZS,SG.COK.WOOD.ZS,SG.CTR.TRVL.EQ,SG.DMK.ALLD.FN.ZS,SG.DMK.DPCH.FN.ZS,SG.DMK.FOOD.FN.ZS,SG.DMK.HLTH.FN.ZS,SG.DMK.HLTH.HB.ZS,SG.DMK.HLTH.OT.ZS,SG.DMK.HLTH.SE.ZS,SG.DMK.HLTH.WF.ZS,SG.DMK.HLTH.WH.ZS,SG.DMK.NONE.FN.ZS,SG.DMK.PRCH.FN.ZS,SG.DMK.PRCH.HB.ZS,SG.DMK.PRCH.OT.ZS,SG.DMK.PRCH.SE.ZS,SG.DMK.PRCH.WF.ZS,SG.DMK.PRCH.WH.ZS,SG.DMK.SRCR.FN.ZS,SG.DMK.VISI.FN.ZS,SG.DMK.VISI.HB.ZS,SG.DMK.VISI.OT.ZS,SG.DMK.VISI.SE.ZS,SG.DMK.VISI.WF.ZS,SG.DMK.VISI.WH.ZS,SG.DML.PRGW,SG.DNG.WORK.DN.EQ,SG.GEN.MNST.ZS,SG.GEN.PARL.ZS,SG.GEN.TECH.ZS,SG.GET.JOBS.EQ,SG.H2O.PRMS.HH.ZS,SG.H2O.TL30.HH.ZS,SG.H2O.TM30.HH.ZS,SG.HLD.HEAD.EQ,SG.HME.TRVL.EQ,SG.IHT.ASST.EQ,SG.IHT.ASST.PT.EQ,SG.IND.WORK.EQ,SG.LAW.ASST.AR,SG.LAW.CRDD.GR,SG.LAW.EQRM.WK,SG.LAW.INDX,SG.LAW.NMCN,SG.LAW.NODC.HR,SG.LAW.OBHB.MR.NO,SG.LEG.DVAW,SG.LEG.SXHR.EM,SG.LOC.LIVE.EQ,SG.NGT.WORK.EQ,SG.OBT.DVRC.EQ,SG.OPN.BANK.EQ,SG.OWN.PRRT.IM,SG.PEN.SXHR.EM,SG.POP.MIGR.FE.ZS,SG.REM.RIGT.EQ,SG.RSX.BRTH.ZS,SG.RSX.NORS.ZS,SG.RSX.REAS.ZS,SG.RSX.SXOT.ZS,SG.RSX.TIRD.ZS,SG.RSX.TMDS.ZS,SG.TIM.UWRK.FE,SG.TIM.UWRK.MA,SG.VAW.1549.ZS,SG.VAW.ARGU.ZS,SG.VAW.BURN.ZS,SG.VAW.GOES.ZS,SG.VAW.NEGL.ZS,SG.VAW.REAS.ZS,SG.VAW.REFU.ZS,SH.CON.1524.FE.ZS,SH.CON.1524.MA.ZS,SH.DYN.AIDS.FE.ZS,SH.FPL.SATI.ZS,SH.HIV.1524.FE.ZS,SH.HIV.1524.MA.ZS,SH.HIV.ARTC.FE.ZS,SH.HIV.ARTC.MA.ZS,SH.HIV.INCD.FE.P3,SH.HIV.INCD.MA.P3,SH.HIV.INCD.YG.FE.P3,SH.HIV.INCD.YG.MA.P3,SH.MMR.LEVE,SH.MMR.LEVE.AL,SH.MMR.LEVE.GT,SH.MMR.RISK,SH.MMR.RISK.ZS,SH.MMR.WAGE.ZS,SH.PAR.LEVE,SH.PAR.LEVE.AL,SH.PAR.LEVE.FE,SH.PAR.LEVE.MA,SH.PRV.SMOK.FE,SH.PRV.SMOK.MA,SH.PTR.LEVE,SH.PTR.LEVE.AL,SH.STA.ANVC.ZS,SH.STA.BRTC.ZS,SH.STA.MALN.FE.ZS,SH.STA.MALN.MA.ZS,SH.STA.MMRT,SH.STA.MMRT.NE,SH.STA.OB18.FE.ZS,SH.STA.OB18.MA.ZS,SL.AGR.0714.FE.ZS,SL.AGR.0714.MA.ZS,SL.AGR.EMPL.FE.ZS,SL.AGR.EMPL.MA.ZS,SL.EMP.1524.SP.FE.ZS,SL.EMP.1524.SP.MA.ZS,SL.EMP.MPYR.FE.ZS,SL.EMP.MPYR.MA.ZS,SL.EMP.OWAC.FE.ZS,SL.EMP.OWAC.MA.ZS,SL.EMP.SELF.FE.ZS,SL.EMP.SELF.MA.ZS,SL.EMP.TOTL.SP.FE.ZS,SL.EMP.TOTL.SP.MA.ZS,SL.EMP.UNDR.FE.ZS,SL.EMP.UNDR.MA.ZS,SL.EMP.VULN.FE.ZS,SL.EMP.VULN.MA.ZS,SL.EMP.WORK.FE.ZS,SL.EMP.WORK.MA.ZS,SL.FAM.WORK.FE.ZS,SL.FAM.WORK.MA.ZS,SL.IND.EMPL.FE.ZS,SL.IND.EMPL.MA.ZS,SL.MNF.0714.FE.ZS,SL.MNF.0714.MA.ZS,SL.SRV.0714.FE.ZS,SL.SRV.0714.MA.ZS,SL.SRV.EMPL.FE.ZS,SL.SRV.EMPL.MA.ZS,SL.TLF.0714.FE.ZS,SL.TLF.0714.MA.ZS,SL.TLF.0714.SW.FE.ZS,SL.TLF.0714.SW.MA.ZS,SL.TLF.0714.WK.FE.ZS,SL.TLF.0714.WK.MA.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.CACT.MA.ZS,SL.TLF.PART.FE.ZS,SL.TLF.PART.MA.ZS,SL.TLF.TOTL.FE.IN,SL.TLF.TOTL.FE.ZS,SL.UEM.1524.FE.ZS,SL.UEM.1524.FM.NE.ZS,SL.UEM.1524.FM.ZS,SL.UEM.1524.MA.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SP.ADO.TFRT,SP.DYN.AMRT.FE,SP.DYN.AMRT.MA,SP.DYN.CONU.ZS,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN,SP.DYN.LE60.FE.IN,SP.DYN.LE60.MA.IN,SP.DYN.SMAM.FE,SP.DYN.SMAM.MA,SP.DYN.TFRT.IN,SP.DYN.TO65.FE.ZS,SP.DYN.TO65.MA.ZS,SP.DYN.WFRT,SP.HOU.FEMA.ZS,SP.M15.2024.FE.ZS,SP.M18.2024.FE.ZS,SP.MTR.1519.ZS,SP.POP.AG00.FE.IN,SP.POP.AG00.MA.IN,SP.POP.AG01.FE.IN,SP.POP.AG01.MA.IN,SP.POP.AG02.FE.IN,SP.POP.AG02.MA.IN,SP.POP.AG03.FE.IN,SP.POP.AG03.MA.IN,SP.POP.AG04.FE.IN,SP.POP.AG04.MA.IN,SP.POP.AG05.FE.IN,SP.POP.AG05.MA.IN,SP.RUR.TOTL.FE.ZS,SP.RUR.TOTL.MA.ZS,SP.URB.TOTL.FE.ZS,SP.URB.TOTL.MA.ZS
AUS,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.556,115.945,200.01,,74.0,67.7857142857143,,,,,3.453,80.472175,67.751868,,,,,,110499.5,116050.5,108525.0,113626.5,106761.5,112035.0,104690.5,110189.0,102966.0,108418.0,101791.5,106544.5,,,,
AUS,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.557,109.193,198.798,,74.2,67.9,,,,,3.54,81.419715,68.002832,,,,,,113092.0,118739.0,110673.5,116175.0,109049.5,114275.0,107486.0,112659.5,105340.0,110963.5,103665.5,109167.5,,,,
AUS,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6,112.524,203.46,,74.2,67.84,19.608857,15.496559,,,3.442,80.948299,67.411092,,,,,,113840.0,119489.5,113191.5,118814.0,111123.5,116674.0,109674.5,114825.5,108085.5,113334.5,105965.0,111613.0,,,,
AUS,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.61,115.741,202.327,,74.2,67.78,,,,,3.332,80.474055,67.284431,,,,,,112544.5,118619.0,114065.5,119664.5,113768.0,119415.0,111849.5,117375.5,110400.5,115626.5,108786.5,114060.5,,,,
AUS,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.626,118.409,209.646,,74.2,67.72,,,,,3.146,80.11289,66.124289,,,,,,110542.0,116787.0,112995.5,118970.0,114918.0,120566.0,114769.0,120416.0,112826.0,118451.5,111326.5,116627.5,,,,
AUS,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.657,118.808,207.713,,74.2,67.66,,,,,2.977,80.507667,66.915463,,,,,,108436.0,114380.5,111335.0,117552.0,114258.0,120261.5,116333.0,121983.0,116142.0,121850.5,114144.5,119858.5,,,,
AUS,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.591,119.568,206.009,,74.2,67.6,,,,,2.881,80.425246,66.876821,,,,,,108033.0,113863.5,109412.0,115346.5,112775.0,118996.0,115854.0,121880.5,117971.5,123622.5,117658.5,123438.5,,,,
AUS,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.233,117.185,206.32,,74.26,67.64,19.6237999999999,15.234901,,,2.848,80.685114,67.158357,,,,,,109560.0,115477.0,108756.5,114498.0,110534.0,116442.0,113998.5,120282.0,117195.5,123228.5,119168.0,124890.0,,,,
AUS,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.146,116.934,209.072,,74.32,67.68,,,,,2.888,80.578092,66.424654,,,,,,113007.5,118597.5,110232.0,116044.5,109810.0,115535.0,111621.0,117591.0,115122.0,121446.5,118259.0,124365.0,,,,
AUS,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.594,112.951,206.545,,74.38,67.72,,,,,2.886,81.075215,67.121475,,,,,,117574.5,122834.5,113841.0,119316.5,111607.5,117491.0,111178.5,116985.0,112933.5,118923.0,116401.5,122773.5,,,,
AUS,1970,,,,,,,,,,,0.504000008106232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.77068,,,,,,,,,,,,,,,,,,,,,10.5377798080444,20.908260345459,0.0,0.0,1.0,1.0,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,1.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,54.375,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.151,118.686,208.409,,74.44,67.76,,,,,2.859,80.3624,66.724879,,,,,,121958.5,127252.0,118607.5,123803.5,116052.0,121638.0,113816.5,119855.5,113313.5,119138.0,115011.5,120990.5,,,,
AUS,1971,,,,,,,,0.996500015258789,,,0.535830020904541,73.2415084838867,74.2831726074219,,,,,,48.61524,110.997589111328,111.387908935547,,,96.66083,96.42732,,,,,,,,,,,53.5014991760254,96.66083,96.42732,24653.0,27782.0,,,69.0,70.615592956543,69.8000030517578,10.0,33.2241516113281,21.5,10.0,33.2241516113281,21.5,,47.88587,,,,,,,,48.121021270752,,,,,,,,,,,,,11.8693895339966,22.1512908935547,0.0,0.0,1.0,1.0,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,1.0,,,,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,54.375,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.641,111.435,197.846,,74.5,67.8,,,21.5,24.4,2.961,81.616018,68.508313,,,,,,126969.5,132277.5,123233.5,128552.5,121356.0,126628.0,118706.0,124484.5,116415.5,122549.5,115852.5,121606.0,,,,
