Country,Year,BM.GSR.ROYL.CD,BX.GSR.ROYL.CD,GB.XPD.RSDV.GD.ZS,IP.JRN.ARTC.SC,IP.PAT.NRES,IP.PAT.RESD,SP.POP.SCIE.RD.P6,SP.POP.TECH.RD.P6,TX.VAL.TECH.CD,TX.VAL.TECH.MF.ZS
AUS,1960,,,,,,,,,,
AUS,1961,,,,,,,,,,
AUS,1962,,,,,,,,,,
AUS,1963,,,,,,,,,,
AUS,1964,,,,,,,,,,
AUS,1965,,,,,,,,,,
AUS,1966,,,,,,,,,,
AUS,1967,,,,,,,,,,
AUS,1968,,,,,,,,,,
AUS,1969,,,,,,,,,,
AUS,1970,,,,,,,,,,
AUS,1971,,,,,,,,,,
AUS,1972,,,,,,,,,,
AUS,1973,,,,,,,,,,
AUS,1974,,,,,,,,,,
AUS,1975,,,,,,,,,,
AUS,1976,,,,,,,,,,
AUS,1977,,,,,,,,,,
AUS,1978,,,,,,,,,,
AUS,1979,,,,,,,,,,
AUS,1980,,,,,10259.0,397.0,,,,
AUS,1981,,,,,11378.0,458.0,,,,
AUS,1982,,,,,11373.0,369.0,,,,
AUS,1983,,,,,11542.0,446.0,,,,
AUS,1984,,,,,12178.0,565.0,,,,
AUS,1985,,,,,12132.0,699.0,,,,
AUS,1986,,,,,12349.0,967.0,,,,
AUS,1987,,,,,12611.0,1131.0,,,,
AUS,1988,,,,,12431.0,1418.0,,,,
AUS,1989,808156157.10927,170237056.690935,,,12901.0,1649.0,,,,
AUS,1990,825954292.249382,162330634.564819,,,13278.0,1712.0,,,,
AUS,1991,806995923.309744,154230038.157313,,,11762.0,1717.0,,,,
AUS,1992,843695450.800255,148081020.271711,,,12100.0,1695.0,,,,
AUS,1993,798613711.680487,186941007.398405,,,11284.0,1663.0,,,,
AUS,1994,969759324.050812,239301517.388523,,,11647.0,1699.0,,,,
AUS,1995,1001161631.08382,261031140.985049,,,12277.0,1784.0,,,,
AUS,1996,1146884407.75145,294468435.604387,1.66322994232178,20800.25,13221.0,1797.0,3355.86499023438,814.21598,,
AUS,1997,1196946820.89075,358625655.750041,,21727.72,15398.0,1760.0,,,,
AUS,1998,1114256382.08339,309259521.386905,1.51452994346619,21981.46,16063.0,1862.0,3382.171875,795.87794,,
AUS,1999,1267126378.18412,381549793.139935,,22207.0,17960.0,1858.0,,,,
AUS,2000,1160197303.08146,394187702.949771,1.57423996925354,23495.94,20073.0,1928.0,3475.3251953125,819.47485,,
AUS,2001,1001186253.55015,336750552.216522,,23969.95,20548.0,2187.0,,,,
AUS,2002,1184791215.67903,345584849.625227,1.74854004383087,24502.31,20181.0,2364.0,3771.5380859375,961.32396,,
AUS,2003,1502670171.6454,450714506.611917,,25655.32,19176.0,2418.0,,,,
AUS,2004,1743966465.64385,537973548.658145,1.84949994087219,27836.59,20274.0,2559.0,4084.15161132813,885.3275,,
AUS,2005,1972287332.09256,573756156.572708,,31638.87,21302.0,2555.0,,,,
AUS,2006,2151687683.12054,641546473.141993,2.18112993240356,33906.33,23166.0,2837.0,4248.25634765625,1017.79166,,
AUS,2007,2809284034.80361,713645961.039889,,35919.95,24122.0,2718.0,,,3856932141.0,14.5306590560344
AUS,2008,3012858777.31232,746149101.650395,2.40111994743347,37411.04,23525.0,2821.0,4343.12646484375,1136.46069,4467054952.0,15.3440414424168
AUS,2009,2832316674.62371,789823546.487552,,38773.68,21187.0,2494.0,,,3840218927.0,16.6642779916193
AUS,2010,3423557728.63804,978059795.188932,2.37285995483398,41661.36,22478.0,2409.0,4532.4013671875,,4554403968.0,16.506959953697
AUS,2011,4110573493.48566,948333508.18577,2.23563003540039,45001.84,23143.0,2383.0,,,5598902061.0,17.9435493790703
AUS,2012,4165820497.25686,859824156.705119,,46312.47,23731.0,2627.0,,,5466439333.0,17.2803118305857
AUS,2013,3913990516.53594,813652776.299392,2.17848992347717,50402.05,26656.0,3061.0,,,5341235868.0,18.0024569081412
AUS,2014,3973566695.16273,851550055.536043,,52195.34,23968.0,1988.0,,,5455317567.0,18.9827747031452
AUS,2015,3526073728.88977,783100619.94872,1.9208300113678,53365.9,26314.0,2291.0,,,5089628319.0,19.6853148062394
AUS,2016,3331031239.48075,820885409.158888,,54348.39,25774.0,2620.0,,,5375124772.0,20.6098142642049
AUS,2017,3471857721.49032,922957692.480288,1.8792599439621,54340.32,26403.0,2503.0,,,4900487730.0,18.0893930210522
AUS,2018,3674795660.35383,969116937.618486,,55556.27,27200.0,2757.0,,,5231519687.0,18.1015833176943
AUS,2019,3455233880.38519,895325638.815317,1.82928001880646,57258.26,27121.0,2637.0,,,6347419761.0,21.2565688212545
AUS,2020,3585412721.26358,879093129.018848,,60890.77,26926.0,2368.0,,,5597904737.0,21.5032648806709
AUS,2021,3980422320.9286,1249186727.55997,,,29443.0,2966.0,,,6309320488.0,22.3902304215337
AUS,2022,4049873949.44015,1244181531.08147,,,,,,,,
AUT,1960,,,,,,,,,,
