Country,Year,SE.ADT.1524.LT.FM.ZS,SE.ENR.PRIM.FM.ZS,SE.ENR.PRSC.FM.ZS,SE.ENR.SECO.FM.ZS,SE.ENR.TERT.FM.ZS,SG.GEN.PARL.ZS,SH.HIV.1524.FE.ZS,SH.HIV.1524.MA.ZS,SL.EMP.VULN.FE.ZS,SL.EMP.VULN.MA.ZS,SL.TLF.0714.FE.ZS,SL.TLF.0714.MA.ZS,SL.TLF.0714.SW.FE.ZS,SL.TLF.0714.SW.MA.ZS,SL.TLF.0714.SW.ZS,SL.TLF.0714.WK.FE.ZS,SL.TLF.0714.WK.MA.ZS,SL.TLF.0714.WK.ZS,SL.TLF.0714.ZS,SL.TLF.ACTI.1524.FE.ZS,SL.TLF.ACTI.1524.MA.ZS,SL.TLF.ACTI.1524.ZS,SL.TLF.ACTI.FE.ZS,SL.TLF.ACTI.MA.ZS,SL.TLF.ACTI.ZS,SL.TLF.CACT.FE.ZS,SL.TLF.CACT.MA.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.ZS,SM.POP.REFG,SM.POP.REFG.OR,SP.ADO.TFRT,SP.DYN.LE00.FE.IN,SP.DYN.LE00.MA.IN
AUS,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.556,74.0,67.7857142857143
AUS,1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.557,74.2,67.9
AUS,1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.6,74.2,67.84
AUS,1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.61,74.2,67.78
AUS,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.626,74.2,67.72
AUS,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,,46.657,74.2,67.66
AUS,1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,,47.591,74.2,67.6
AUS,1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44000.0,,47.233,74.26,67.64
AUS,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43000.0,,47.146,74.32,67.68
AUS,1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42000.0,,47.594,74.38,67.72
AUS,1970,,,,,0.504000008106232,,,,,,,,,,,,,,,,,,,,,,,,,42000.0,,49.151,74.44,67.76
AUS,1971,,0.996500015258789,,,0.535830020904541,,,,,,,,,,,,,,,,,,,,,,,,,,,53.641,74.5,67.8
AUS,1972,,0.998000025749207,,,0.560549974441528,,,,,,,,,,,,,,,,,,,,,,,,,,,52.076,74.92,68.16
AUS,1973,,0.999610006809235,,,0.591970026493073,,,,,,,,,,,,,,,,,,,,,,,,,,,47.458,75.34,68.52
AUS,1974,,1.00063002109528,,,0.652310013771057,,,,,,,,,,,,,,,,,,,,,,,,,,,42.644,75.76,68.88
AUS,1975,,0.994490027427673,,,0.702859997749329,,,,,,,,,,,,,,,,,,,,,,,,,,,38.364,76.18,69.24
AUS,1976,,0.991550028324127,,,0.761229991912842,,,,,,,,,,,,,,,,,,,,,,,,,,,34.104,76.6,69.6
AUS,1977,,0.991559982299805,,,0.775200009346008,,,,,,,,,,,,,,,,,,,,,,,,,,,31.341,76.94,69.92
AUS,1978,,0.990809977054596,,,0.807810008525848,,,,,,,,,,,,,,,,,,,,,,,,,304000.0,,29.243,77.28,70.24
AUS,1979,,0.990209996700287,,,0.836610019207001,,,,,,,,,,,,,,,,,,,,,,,,,304000.0,,27.837,77.62,70.56
AUS,1980,,0.989069998264313,,,0.856959998607636,,,,,,,,,,,,,,,,,,,,,,,,,304000.0,,27.085,77.96,70.88
AUS,1981,,0.986869990825653,,,0.851809978485107,,,,,,,,,,,,,,,,,,,,,,,,,317000.0,,27.509,78.3,71.2
