mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_num_hidden_units,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5233037948608399,0.0035785953755529086,0.0700693130493164,0.0004656354280921095,32,0.001,128,"{'batch_size': 32, 'learning_rate': 0.001, 'num_hidden_units': 128}",-0.0649012065156902,-0.1252068172164953,-0.2184977556238481,-0.1562848907375496,0.026982654333800205,-0.1075816031519566,0.08356339739545747,3
0.5202632427215577,0.0006260429426248929,0.06942162513732911,0.0006004048379177883,32,0.002,128,"{'batch_size': 32, 'learning_rate': 0.002, 'num_hidden_units': 128}",0.017839488439824303,-0.02978838089731517,-0.010535119323413111,-0.00855307499309288,-0.03904255159200831,-0.014015927673201034,0.01965618735862475,1
0.5619336128234863,0.056601877637434767,0.06714739799499511,0.005598607103562825,32,0.003,128,"{'batch_size': 32, 'learning_rate': 0.003, 'num_hidden_units': 128}",0.027501310017931213,0.06279468374553909,-0.44191388101284423,0.03165127513230903,-0.40177523224123424,-0.14434836887165983,0.22725767536947744,5
0.5516078472137451,0.027296154697662334,0.0719487190246582,0.002546508944734307,32,0.004,128,"{'batch_size': 32, 'learning_rate': 0.004, 'num_hidden_units': 128}",-2.1731143298087603,0.032471078086126925,-0.026957241112781416,-0.13870847817295262,0.03804735412259652,-0.45365232337715417,0.8620780062994302,18
0.5761579513549805,0.06680450778247682,0.06931300163269043,0.0014976209663408928,32,0.005,128,"{'batch_size': 32, 'learning_rate': 0.005, 'num_hidden_units': 128}",0.0073644162143701175,-0.5286174533460319,-0.49024234716647586,-2.34424961813852,0.0380764681284097,-0.6635337068616496,0.8735444344077112,19
0.544973087310791,0.0138016449222115,0.07078495025634765,0.0014326530051140965,32,0.006,128,"{'batch_size': 32, 'learning_rate': 0.006, 'num_hidden_units': 128}",-0.7731813842002722,-0.5556305389704785,0.005068214357897061,-0.6699493231046387,0.020810610791650808,-0.39457648422516833,0.339815421380391,17
0.5439140796661377,0.011488932086634719,0.07372059822082519,0.0038798536448694447,32,0.007,128,"{'batch_size': 32, 'learning_rate': 0.007, 'num_hidden_units': 128}",-0.7304263927023154,-0.21242149595620607,-0.3506792384001507,-0.17559703536137072,0.03234116481353455,-0.28735659952130166,0.2532321972705166,14
0.5678221225738526,0.07375963724600233,0.070037841796875,0.0009755398263517952,32,0.008,128,"{'batch_size': 32, 'learning_rate': 0.008, 'num_hidden_units': 128}",-0.08138489346778344,-0.07330492682196854,-0.07476807379508776,-0.02178580438497657,-0.036655608660296934,-0.05757986142602265,0.02378415754203523,2
0.525102186203003,0.002955525769427032,0.06951313018798828,0.0004922849685789878,32,0.009,128,"{'batch_size': 32, 'learning_rate': 0.009, 'num_hidden_units': 128}",-0.017585068814752303,0.021283366627218525,-0.4076985372882731,-0.3387358402800966,0.005011644320176534,-0.1475448870871454,0.18595694726923662,6
0.5528253078460693,0.06408539331099232,0.06915383338928223,0.0005234794117508611,32,0.01,128,"{'batch_size': 32, 'learning_rate': 0.01, 'num_hidden_units': 128}",-0.5444495732382904,0.011056477160743428,-0.047936387878801945,0.021548249545159104,-0.08679600236868157,-0.12931544735597428,0.2112964406849748,4
